,Player,Pos,Age,Team,Abb_team,MP,PTS,AST,FG,FT,X3P,FGA,TOV,FTA,TRB,ORB,BLK,STL,PF,team_AST,team_FG,Pace,pace_adjustment,PER_value
185,Gordon Hayward,SF,26,Utah Jazz,UTA,2516,22.9,3.6,7.8,5.2,2.1,16.5,2,6.1,5.6,0.7,0.3,1,1.7,20.1,46.6,91.6,1.052401747,0.00642082
186,Gerald Henderson,SG,29,Philadelphia 76ers,PHI,1667,14.3,2.4,5.1,2.9,1.3,11.9,1.3,3.6,4,0.7,0.3,0.9,2.8,23.8,44.2,98.5,0.978680203,0.004884054
187,John Henson,C,26,Milwaukee Bucks,MIL,1123,12.6,1.8,5.1,2.4,0,9.9,1.7,3.4,9.5,2.9,2.5,0.9,4.8,24.2,47.4,94.5,1.02010582,0.010113584
188,Juan Hernangomez,PF,21,Denver Nuggets,DEN,842,13,1.2,4.3,2.4,2,9.6,1.3,3.2,8,1.8,0.5,1.3,2.7,25.3,46.9,98.3,0.980671414,0.011560703
189,Willy Hernangomez,C,22,New York Knicks,NYK,1324,16,2.6,6.7,2.5,0.1,12.6,2.7,3.4,13.6,4.6,1,1.1,4.1,21.8,44.7,96,1.004166667,0.010581677
190,Mario Hezonja,SF,21,Orlando Magic,ORL,960,11.9,2.3,4.4,1.5,1.6,12.4,2.2,1.9,5.5,0.7,0.6,1.1,2.8,22.2,44,96.8,0.995867769,0.005667085
191,Roy Hibbert,C,30,Denver Nuggets,DEN,11,13.1,3.3,6.5,0,0,9.8,3.3,0,6.5,3.3,6.5,0,9.8,25.3,46.9,98.3,0.980671414,1.122080477
192,Buddy Hield,SG,23,Sacramento Kings,SAC,727,18.7,2.2,7,1.7,2.9,14.7,2.6,2.1,5.1,0.8,0.1,1,1.7,22.5,46.1,94.9,1.015806112,0.015344882
193,Nene Hilario,C,34,Houston Rockets,HOU,1198,18.3,2,7.4,3.5,0.1,11.9,2.2,5.9,8.5,2.9,1.2,1.7,4.9,25.2,46.2,100,0.964,0.011700552
194,George Hill,PG,30,Utah Jazz,UTA,1544,19.3,4.8,6.7,3.7,2.2,14.1,2,4.6,3.9,0.5,0.3,1.2,2.7,20.1,46.6,91.6,1.052401747,0.009232985
195,Jordan Hill,C,29,Minnesota Timberwolves,MIN,47,9.2,0,3.8,1.5,0,10,3.1,1.5,10.7,6.1,0,0.8,6.9,23.7,46.7,94.6,1.019027484,0.088456968
196,Solomon Hill,SF,25,New Orleans Pelicans,NOP,2374,8.5,2.1,2.8,1.6,1.4,7.2,1.2,1.9,4.7,0.8,0.5,1.1,2.8,22.8,45,98,0.983673469,0.002610631
197,Darrun Hilliard,SG,23,Detroit Pistons,DET,381,12,3.1,4.4,2,1.1,11.9,2.6,2.6,3.1,0.2,0.2,1,3.7,21.1,44.9,95,1.014736842,0.011318224
198,Jrue Holiday,PG,26,New Orleans Pelicans,NOP,2190,16.9,8,6.7,2,1.6,14.7,3.2,2.8,4.3,0.8,0.7,1.6,2.2,22.8,45,98,0.983673469,0.005790283
199,Justin Holiday,SG,27,New York Knicks,NYK,1639,13.8,2.2,5.1,1.4,2.1,11.8,1.4,1.8,4.9,0.6,0.7,1.4,2.4,21.8,44.7,96,1.004166667,0.005702019
200,Rondae Hollis-Jefferson,SF,22,Brooklyn Nets,BRK,1761,13.8,3.1,4.8,3.9,0.3,11.1,2.4,5.2,9.2,2,0.9,1.7,3.6,21.4,44.4,101.3,0.951628825,0.005578198
201,Richaun Holmes,C,23,Philadelphia 76ers,PHI,1193,16.9,1.8,6.9,2.2,0.8,12.4,1.7,3.1,9.4,2.8,1.7,1.3,4.1,23.8,44.2,98.5,0.978680203,0.011577364
202,Rodney Hood,SG,24,Utah Jazz,UTA,1593,16.9,2.2,6.1,2,2.6,15.1,1.5,2.6,4.6,0.4,0.2,0.9,3,20.1,46.6,91.6,1.052401747,0.00580908
203,Al Horford,C,30,Boston Celtics,BOS,2193,15.6,5.5,6.2,1.8,1.4,13.1,1.9,2.2,7.6,1.6,1.4,0.9,2.3,25.2,45.4,96.8,0.995867769,0.006056004
204,Danuel House,SG,23,Washington Wizards,WAS,1,0,0,0,0,0,0,0,0,36,0,0,0,0,23.9,47.5,97.4,0.98973306,9.115152605
205,Dwight Howard,C,31,Atlanta Hawks,ATL,2199,16.4,1.7,6.4,3.7,0,10,2.8,6.9,15.4,4.8,1.5,1,3.3,23.6,45.1,97.4,0.98973306,0.00695065
206,Marcelo Huertas,PG,33,Los Angeles Lakers,LAL,237,9.6,7.9,3.8,1.4,0.6,10.3,2.9,2.6,3.6,0.3,0.3,1.5,2.4,20.9,45,98.5,0.978680203,0.028806344
207,Josh Huestis,PF,25,Oklahoma City Thunder,OKC,31,16.3,3.5,7,0,2.3,12.8,0,1.2,10.5,4.6,3.5,0,0,21,45.2,97.8,0.985685072,0.630571225
208,Kris Humphries,PF,31,Atlanta Hawks,ATL,689,13.4,1.5,4.5,3.3,1,11.2,1.5,4.3,10.8,3.1,1.1,0.8,3.6,23.6,45.1,97.4,0.98973306,0.014097449
209,R.J. Hunter,SG,23,Chicago Bulls,CHI,9,0,0,0,0,0,4,0,0,4,0,0,0,0,22.6,44.4,95.3,1.011542497,-0.217522482
210,Serge Ibaka,PF,27,Toronto Raptors,TOR,712,16.5,0.8,6.5,1.5,2.1,14.1,2,1.7,7.9,1.5,1.7,0.4,3.8,18.5,46.4,94.7,1.017951426,0.014892108
211,Andre Iguodala,SF,33,Golden State Warriors,GSW,1998,10.3,4.7,3.9,1.3,1.2,7.5,1,1.8,5.5,0.9,0.7,1.4,1.7,30.4,49.5,99.8,0.965931864,0.005381496
212,Ersan Ilyasova,PF,29,Atlanta Hawks,ATL,633,15.4,2.4,5.3,3,1.8,12.9,1.9,3.7,8.6,2.4,0.5,1.3,4.2,23.6,45.1,97.4,0.98973306,0.015939846
213,Joe Ingles,SF,29,Utah Jazz,UTA,1972,10.6,4.1,3.7,0.9,2.2,8.2,2,1.2,4.8,0.4,0.1,1.8,3,20.1,46.6,91.6,1.052401747,0.00469705
214,Brandon Ingram,SF,19,Los Angeles Lakers,LAL,2279,11.7,2.6,4.4,2.1,0.9,10.8,1.8,3.4,5,0.9,0.6,0.8,2.5,20.9,45,98.5,0.978680203,0.002865953
215,Kyrie Irving,PG,24,Cleveland Cavaliers,CLE,2525,25.9,6,9.6,4.2,2.5,20.2,2.6,4.7,3.3,0.7,0.3,1.2,2.2,22.7,47,96.2,1.002079002,0.006656969
216,Jarrett Jack,PG,33,New Orleans Pelicans,NOP,33,6.5,5.5,2.2,2.2,0,3.3,3.3,2.2,0,0,0,2.2,4.4,22.8,45,98,0.983673469,0.171797625
217,Demetrius Jackson,PG,22,Boston Celtics,BOS,17,21.2,6.4,6.4,6.4,2.1,8.5,0,12.7,8.5,4.2,0,0,0,25.2,45.4,96.8,0.995867769,1.302748864
218,Pierre Jackson,PG,25,Dallas Mavericks,DAL,84,15,8.1,5.6,2.6,1.3,16.7,1.3,3,3.9,0.4,0,0.9,2.1,20.8,44,92.2,1.045553145,0.117304034
219,Reggie Jackson,PG,26,Detroit Pistons,DET,1424,19,6.8,7.2,3,1.7,17.1,2.9,3.4,2.9,0.5,0.1,0.9,3.3,21.1,44.9,95,1.014736842,0.007676045
220,LeBron James,SF,32,Cleveland Cavaliers,CLE,2794,25.2,8.3,9.5,4.6,1.6,17.3,3.9,6.8,8.2,1.2,0.6,1.2,1.7,22.7,47,96.2,1.002079002,0.00705258
221,Al Jefferson,C,32,Indiana Pacers,IND,931,20.7,2.2,9.1,2.5,0,18.2,1.3,3.3,10.7,2.9,0.6,0.7,4.8,22.5,46.5,95.9,1.005213764,0.015056674
222,Richard Jefferson,SF,36,Cleveland Cavaliers,CLE,1614,10,1.7,3.4,1.8,1.4,7.7,1.2,2.4,4.5,0.6,0.2,0.6,3.4,22.7,47,96.2,1.002079002,0.003765143
223,John Jenkins,SG,25,Phoenix Suns,PHO,13,19.4,2.8,5.5,5.5,2.8,13.8,0,5.5,2.8,0,0,0,0,19.6,45,100.3,0.96111665,0.942250618
224,Brandon Jennings,PG,27,Washington Wizards,WAS,374,7.8,10.4,2.8,1.2,1.1,10.2,2.1,1.6,4.2,0.8,0,1.4,3.1,23.9,47.5,97.4,0.98973306,0.019797635
225,Jonas Jerebko,PF,29,Boston Celtics,BOS,1232,8.7,2.1,3.3,0.8,1.3,7.7,1.1,1.1,7.9,1.7,0.5,0.7,3.6,25.2,45.4,96.8,0.995867769,0.005713612
226,Amir Johnson,PF,29,Boston Celtics,BOS,1608,11.6,3.1,4.8,1.5,0.6,8.3,1.7,2.2,8.2,2.6,1.4,1.1,4.7,25.2,45.4,96.8,0.995867769,0.007017843
227,Brice Johnson,PF,22,LA Clippers,LAC,9,16,4,8,0,0,28,4,0,12,4,4,8,0,22.5,47.5,96.1,1.003121748,1.464928738
228,James Johnson,PF,29,Miami Heat,MIA,2085,16.8,4.8,6.4,2.6,1.5,13.3,3,3.7,6.5,1.1,1.5,1.3,3.4,21.2,45.5,95.2,1.012605042,0.006017601
229,Joe Johnson,SF,35,Utah Jazz,UTA,1843,14,2.8,5.3,1.2,2.1,12.2,1.3,1.5,4.7,0.6,0.4,0.7,1.8,20.1,46.6,91.6,1.052401747,0.005270991
230,Stanley Johnson,SF,20,Detroit Pistons,DET,1371,8.9,2.8,3.4,0.9,1.2,9.6,1.9,1.4,5,0.9,0.6,1.5,3.2,21.1,44.9,95,1.014736842,0.003947422
231,Tyler Johnson,PG,24,Miami Heat,MIA,2178,16.6,3.9,5.9,3.2,1.5,13.6,1.5,4.2,4.8,0.8,0.7,1.4,2.9,21.2,45.5,95.2,1.012605042,0.005305778
232,Wesley Johnson,SF,29,LA Clippers,LAC,810,8.3,1,3.2,0.5,1.3,8.9,0.8,0.8,8,1.2,1.3,1.3,3.7,22.5,47.5,96.1,1.003121748,0.007835677
233,Nikola Jokic,C,21,Denver Nuggets,DEN,2038,21.6,6.3,8.7,3.3,0.8,15.1,3,4,12.7,3.7,1,1.1,3.8,25.3,46.9,98.3,0.980671414,0.009404312
234,Dahntay Jones,SF,36,Cleveland Cavaliers,CLE,12,27,3,9,9,0,24,3,12,6,3,0,0,3,22.7,47,96.2,1.002079002,0.837949643
235,Damian Jones,C,21,Golden State Warriors,GSW,85,8,0,3.4,1.3,0,6.8,2.5,4.2,9.7,3.8,1.7,0.4,6.4,30.4,49.5,99.8,0.965931864,0.04954958
236,Derrick Jones,SF,19,Phoenix Suns,PHO,545,11.1,0.8,4.5,1.9,0.2,8,0.9,2.7,5.2,2.6,0.9,0.9,4.2,19.6,45,100.3,0.96111665,0.01617034
237,James Jones,SF,36,Cleveland Cavaliers,CLE,381,12.5,1.3,4.2,1.2,2.9,8.7,0.9,1.9,3.5,0.3,0.9,0.6,3.5,22.7,47,96.2,1.002079002,0.022207877
238,Terrence Jones,PF,25,Milwaukee Bucks,MIL,6,0,0,0,0,0,18,0,0,18,0,6,6,0,24.2,47.4,94.5,1.02010582,0.232149957
239,Tyus Jones,PG,20,Minnesota Timberwolves,MIN,774,9.7,7.3,3.5,1.5,1.2,8.4,1.8,2,3.1,0.5,0.2,2.2,2.3,23.7,46.7,94.6,1.019027484,0.01327923
240,DeAndre Jordan,C,28,LA Clippers,LAC,2570,14.4,1.3,5.8,2.9,0,8.1,1.6,6,15.6,4.2,1.9,0.7,3,22.5,47.5,96.1,1.003121748,0.006237922
241,Cory Joseph,PG,25,Toronto Raptors,TOR,2003,13.3,4.8,5.4,1.7,0.9,11.9,1.9,2.2,4.2,0.9,0.2,1.2,2.5,18.5,46.4,94.7,1.017951426,0.00498989
242,Frank Kaminsky,C,23,Charlotte Hornets,CHO,1954,16.1,3,5.9,2.2,2.1,14.8,1.4,2.9,6.2,1.1,0.6,0.8,2.6,23.1,44.2,95.7,1.007314525,0.004934698
243,Enes Kanter,C,24,Oklahoma City Thunder,OKC,1533,24.3,1.6,9.4,5.3,0.1,17.3,2.9,6.7,11.3,4.6,0.9,0.8,3.6,21,45.2,97.8,0.985685072,0.01115641
244,Ryan Kelly,PF,25,Atlanta Hawks,ATL,110,8.2,2.6,2.6,1.6,1.3,9.2,1.3,2,5.9,0.3,1.6,1.3,1.6,23.6,45.1,97.4,0.98973306,0.051911357
245,Michael Kidd-Gilchrist,SF,23,Charlotte Hornets,CHO,2349,11.4,1.7,4.5,2.3,0,9.5,0.9,3,8.7,2.4,1.2,1.2,2.9,23.1,44.2,95.7,1.007314525,0.004370912
246,Sean Kilpatrick,SG,27,Brooklyn Nets,BRK,1754,18.9,3.2,6.3,4.2,2.2,15.1,2.8,5,5.7,0.5,0.1,0.9,2.4,21.4,44.4,101.3,0.951628825,0.005441017
247,Brandon Knight,SG,25,Phoenix Suns,PHO,1140,18.8,4.1,6.6,4.2,1.4,16.6,2.8,4.9,3.7,0.8,0.2,0.9,2.7,19.6,45,100.3,0.96111665,0.007847627
248,Kyle Korver,SG,35,Cleveland Cavaliers,CLE,859,15.6,1.5,5.5,0.6,4.1,11.3,1.2,0.6,4.1,0.3,0.3,0.5,2.5,22.7,47,96.2,1.002079002,0.012080804
249,Kosta Koufos,C,27,Sacramento Kings,SAC,1419,11.9,1.2,5.5,1,0,9.9,1.5,1.6,10.2,3,1.2,0.9,4.4,22.5,46.1,94.9,1.015806112,0.007481092
250,Mindaugas Kuzminskas,SF,27,New York Knicks,NYK,1016,15.1,2.4,5.6,1.9,1.9,13.1,1.8,2.4,4.5,1.7,0.4,1,2.8,21.8,44.7,96,1.004166667,0.008965509
251,Skal Labissiere,PF,20,Sacramento Kings,SAC,612,17,1.6,6.9,3.1,0.2,12.8,2.2,4.4,9.5,3,0.8,0.9,3.8,22.5,46.1,94.9,1.015806112,0.020509634
252,Jeremy Lamb,SG,24,Charlotte Hornets,CHO,1143,19,2.4,7.1,3.5,1.3,15.5,1.3,4.1,8.3,0.9,0.7,0.9,3.1,23.1,44.2,95.7,1.007314525,0.010862745
253,Nicolas Laprovittola,PG,27,San Antonio Spurs,SAS,174,12.2,5.8,4.1,1.9,2.1,9.7,3.9,1.9,2.1,0.2,0.2,0.8,3.9,23.8,46.9,94.2,1.023354565,0.036687521
254,Joffrey Lauvergne,C,25,Chicago Bulls,CHI,241,13.3,2.8,5.5,1.3,0.9,13.7,2.4,2.2,10.2,3.1,0,1,1.8,22.6,44.4,95.3,1.011542497,0.035679131
255,Zach LaVine,SG,21,Minnesota Timberwolves,MIN,1749,18.3,2.9,6.7,2.4,2.5,14.6,1.7,2.9,3.3,0.4,0.2,0.8,2.1,23.7,46.7,94.6,1.019027484,0.006284501
256,Ty Lawson,PG,29,Sacramento Kings,SAC,1732,14.2,6.9,4.9,3.6,0.7,10.8,2.7,4.5,3.7,0.9,0.1,1.5,2.5,22.5,46.1,94.9,1.015806112,0.006384641
257,Jake Layman,SF,22,Portland Trail Blazers,POR,249,11.3,1.6,3.8,1.9,1.9,12.9,1.6,2.5,3.5,0.9,0.4,1.3,3.2,21.1,45.9,96.7,0.996897622,0.015535714
258,Courtney Lee,SG,31,New York Knicks,NYK,2459,12.2,2.6,4.7,1.2,1.6,10.3,1,1.4,3.8,0.8,0.4,1.2,2.1,21.8,44.7,96,1.004166667,0.003729761
259,David Lee,PF,33,San Antonio Spurs,SAS,1477,14,3,6,1.9,0,10.2,2,2.8,10.7,3.6,1,0.8,3,23.8,46.9,94.2,1.023354565,0.009220269
260,Alex Len,C,23,Phoenix Suns,PHO,1560,14.1,1,5.3,3.5,0.1,10.7,2.4,4.8,11.8,3.6,2.3,0.9,5.6,19.6,45,100.3,0.96111665,0.006989169
261,Kawhi Leonard,SF,25,San Antonio Spurs,SAS,2474,27.5,3.8,9.3,6.8,2.1,19.1,2.2,7.8,6.3,1.2,0.8,1.9,1.8,23.8,46.9,94.2,1.023354565,0.008004801
262,Meyers Leonard,PF,24,Portland Trail Blazers,POR,1222,11.8,2.1,4.3,1,2.2,11.1,1,1.2,7,0.8,0.8,0.4,5.1,21.1,45.9,96.7,0.996897622,0.005599883
263,Jon Leuer,PF,27,Detroit Pistons,DET,1944,14.2,2.1,5.7,1.8,0.9,12,1.2,2.1,7.4,1.9,0.5,0.6,2.7,21.1,44.9,95,1.014736842,0.005349495
264,Caris LeVert,SF,22,Brooklyn Nets,BRK,1237,13.6,3.2,5,1.9,1.7,11.1,1.7,2.7,5.5,0.7,0.2,1.4,2.6,21.4,44.4,101.3,0.951628825,0.007334864
265,DeAndre Liggins,SG,28,Dallas Mavericks,DAL,25,11.5,0,4.3,2.9,0,8.6,0,4.3,10.1,4.3,0,2.9,4.3,20.8,44,92.2,1.045553145,0.515839499
266,Damian Lillard,PG,26,Portland Trail Blazers,POR,2694,27,5.9,8.8,6.5,2.9,19.9,2.6,7.3,4.9,0.6,0.3,0.9,2,21.1,45.9,96.7,0.996897622,0.006374774
267,Jeremy Lin,PG,28,Brooklyn Nets,BRK,883,21.3,7.5,7.1,4.7,2.4,16.3,3.5,5.7,5.5,0.4,0.6,1.7,3.2,21.4,44.4,101.3,0.951628825,0.015693491
268,Shaun Livingston,PG,31,Golden State Warriors,GSW,1345,10.4,3.7,4.6,1.1,0,8.5,1.7,1.6,4,0.7,0.5,1,3.2,30.4,49.5,99.8,0.965931864,0.005516058
269,Shawn Long,C,24,Philadelphia 76ers,PHI,234,22.8,2,9.4,2.9,1.1,16.8,2,5.4,13.1,6.3,1.4,1.4,7.5,23.8,44.2,98.5,0.978680203,0.076529696
270,Kevon Looney,C,20,Golden State Warriors,GSW,447,10.9,2.3,4.5,1.7,0.2,8.6,1.4,2.7,10,3.5,1.4,1.2,5.2,30.4,49.5,99.8,0.965931864,0.022614609
271,Brook Lopez,C,28,Brooklyn Nets,BRK,2222,24.9,2.9,9,4.8,2.2,19,3,5.9,6.5,2,2,0.6,3.1,21.4,44.4,101.3,0.951628825,0.006691407
272,Robin Lopez,C,28,Chicago Bulls,CHI,2271,13.3,1.3,6.1,1.2,0,12.3,1.4,1.6,8.2,3.9,1.9,0.3,2.4,22.6,44.4,95.3,1.011542497,0.004896969
273,Kevin Love,PF,28,Cleveland Cavaliers,CLE,1885,21.8,2.2,7.1,4.9,2.8,16.6,2.3,5.6,12.7,2.8,0.4,1,2.4,22.7,47,96.2,1.002079002,0.008102103
274,Kyle Lowry,PG,30,Toronto Raptors,TOR,2244,21.6,6.7,6.8,4.8,3.1,14.7,2.8,5.9,4.6,0.8,0.3,1.4,2.7,18.5,46.4,94.7,1.017951426,0.007329103
275,John Lucas III,PG,34,Minnesota Timberwolves,MIN,11,6.5,3.3,3.3,0,0,13.1,0,0,0,0,0,6.5,0,23.7,46.7,94.6,1.019027484,0.652619539
276,Timothe Luwawu-Cabarrot,SF,21,Philadelphia 76ers,PHI,1190,13.5,2.3,4.4,3.2,1.5,10.9,2.2,3.7,4.5,0.8,0.3,1,4.7,23.8,44.2,98.5,0.978680203,0.005333732
277,Trey Lyles,PF,21,Utah Jazz,UTA,1158,13.7,2.1,4.9,1.8,2,13.6,2,2.5,7.3,1.5,0.6,0.8,3,20.1,46.6,91.6,1.052401747,0.006420273
278,Sheldon Mac,SG,24,Washington Wizards,WAS,287,11.3,1.9,3.8,2.9,0.9,9.4,0.6,3.4,4.3,0.5,0.3,1,2.1,23.9,47.5,97.4,0.98973306,0.026312297
279,Shelvin Mack,PG,26,Utah Jazz,UTA,1205,12.8,4.6,5.1,1.6,1.1,11.4,2.7,2.3,3.7,0.6,0.1,1.3,3,20.1,46.6,91.6,1.052401747,0.006951749
280,Ian Mahinmi,C,30,Washington Wizards,WAS,555,11.2,1.2,4.2,2.8,0,7.2,2.2,4.9,9.7,3,1.6,2.1,5.8,23.9,47.5,97.4,0.98973306,0.018395418
281,Thon Maker,C,19,Milwaukee Bucks,MIL,562,14.5,1.5,5.3,2,1.8,11.6,1.1,3.1,7.3,2.6,1.7,0.6,5.4,24.2,47.4,94.5,1.02010582,0.018610926
282,Boban Marjanovic,C,28,Detroit Pistons,DET,293,23.5,1.1,8.8,5.8,0,16.2,1.2,7.1,16,5.7,1.5,0.7,3.1,21.1,44.9,95,1.014736842,0.07212348
283,Jarell Martin,PF,22,Memphis Grizzlies,MEM,558,10.6,0.5,3.7,2.6,0.6,9.7,1.8,3.2,10.5,2.7,0.6,1.1,5.9,21.3,43.5,92.3,1.044420368,0.0115895
284,Wesley Matthews,SG,30,Dallas Mavericks,DAL,2495,14.2,3,4.8,2.1,2.5,12.2,1.5,2.6,3.7,0.3,0.2,1.1,2.3,20.8,44,92.2,1.045553145,0.003533297
285,Luc Mbah a Moute,SF,30,LA Clippers,LAC,1787,9.8,0.8,3.8,1.2,0.9,7.6,0.9,1.8,3.4,0.9,0.7,1.6,2.5,22.5,47.5,96.1,1.003121748,0.004280592
286,James Michael McAdoo,PF,24,Golden State Warriors,GSW,457,11.6,1.4,4.9,1.7,0.2,9.2,1.5,3.3,7.2,2.7,2.3,1.4,3.7,30.4,49.5,99.8,0.965931864,0.021841985
287,Patrick McCaw,SG,21,Golden State Warriors,GSW,1074,9.5,2.6,3.6,1,1.4,8.2,1.2,1.2,3.4,0.7,0.5,1.1,2.1,30.4,49.5,99.8,0.965931864,0.006362914
288,C.J. McCollum,SG,25,Portland Trail Blazers,POR,2796,23.7,3.7,8.9,3.5,2.4,18.6,2.2,3.8,3.7,0.8,0.5,0.9,2.6,21.1,45.9,96.7,0.996897622,0.00522734
289,T.J. McConnell,PG,24,Philadelphia 76ers,PHI,2133,9.4,9,4,1.2,0.2,8.6,2.7,1.5,4.2,0.7,0.2,2.3,2.3,23.8,44.2,98.5,0.978680203,0.004878412
290,Chris McCullough,PF,21,Washington Wizards,WAS,8,4.5,0,0,4.5,0,4.5,4.5,9,9,0,0,4.5,0,23.9,47.5,97.4,0.98973306,0.052549434
291,K.J. McDaniels,SF,23,Brooklyn Nets,BRK,293,15.5,1.1,5.7,2.8,1.4,12.4,2.3,3.4,6.4,1.1,1.2,1.5,3.1,21.4,44.4,101.3,0.951628825,0.032039167
292,Doug McDermott,SF,25,Oklahoma City Thunder,OKC,430,12.1,1.1,4.7,1,1.8,10.4,0.5,1.4,4.1,0.5,0.1,0.2,1.8,21,45.2,97.8,0.985685072,0.016766605
293,JaVale McGee,C,29,Golden State Warriors,GSW,739,23,0.8,10.1,2.7,0,15.5,1.9,5.4,11.9,4.9,3.3,0.9,5.3,30.4,49.5,99.8,0.965931864,0.025188678
294,Rodney McGruder,SG,25,Miami Heat,MIA,1966,9.1,2.3,3.5,0.8,1.3,8.4,1,1.3,4.7,1.7,0.3,0.8,2.6,21.2,45.5,95.2,1.012605042,0.003513954
295,Ben McLemore,SG,23,Sacramento Kings,SAC,1176,15.2,1.6,5.5,2.1,2,12.8,1.9,2.8,3.9,0.6,0.2,0.9,3.3,22.5,46.1,94.9,1.015806112,0.006369344
296,Jordan McRae,SG,25,Cleveland Cavaliers,CLE,384,15.1,1.8,5.4,2.5,1.7,14.1,1.3,3.2,3.8,0.6,0.6,0.7,2.9,22.7,47,96.2,1.002079002,0.018486354
297,Josh McRoberts,PF,29,Miami Heat,MIA,381,10.1,4.7,4.2,0.6,1.2,11.1,2.2,0.9,7,2.2,0.4,0.9,2.9,21.2,45.5,95.2,1.012605042,0.019888984
298,Jodie Meeks,SG,29,Orlando Magic,ORL,738,16,2.2,5,3.2,2.7,12.5,1.8,3.6,3.8,0.2,0.2,1.7,2,22.2,44,96.8,0.995867769,0.012829179
299,Salah Mejri,C,30,Dallas Mavericks,DAL,905,8.5,0.6,3.5,1.4,0,5.4,1.6,2.4,12.3,3.9,2.4,1.3,6,20.8,44,92.2,1.045553145,0.012257707
300,Jordan Mickey,PF,22,Boston Celtics,BOS,141,9.7,1.8,3.8,2,0,8.7,2.3,3.6,8.7,3.3,1.5,0.8,3.1,25.2,45.4,96.8,0.995867769,0.051299654
301,Khris Middleton,SF,25,Milwaukee Bucks,MIL,889,17.3,4,6.1,3.3,1.8,13.5,2.6,3.7,5,0.4,0.3,1.7,3.2,24.2,47.4,94.5,1.02010582,0.012646756
302,C.J. Miles,SF,29,Indiana Pacers,IND,1776,16.5,1,5.7,1.7,3.4,13.1,0.8,1.9,4.6,0.6,0.5,0.9,3.1,22.5,46.5,95.9,1.005213764,0.005776032
303,Mike Miller,SF,36,Denver Nuggets,DEN,151,6.7,5.2,2.1,0.5,1.9,5.5,3.1,0.5,9.1,0.5,0,0.5,2.1,25.3,46.9,98.3,0.980671414,0.038103389
304,Patty Mills,PG,28,San Antonio Spurs,SAS,1754,15.6,5.7,5.6,1.4,3,12.7,2.1,1.6,2.9,0.5,0.1,1.3,2.2,23.8,46.9,94.2,1.023354565,0.00657181
305,Elijah Millsap,SG,29,Phoenix Suns,PHO,23,4.7,1.6,1.6,1.6,0,11,3.1,3.1,9.4,4.7,0,0,3.1,19.6,45,100.3,0.96111665,-0.095083481
306,Paul Millsap,PF,31,Atlanta Hawks,ATL,2343,19.1,3.9,6.6,4.8,1.2,14.9,2.4,6.2,8.2,1.7,1,1.4,2.9,23.6,45.1,97.4,0.98973306,0.005577695
307,Nikola Mirotic,PF,25,Chicago Bulls,CHI,1679,16,1.6,5.5,2.1,2.8,13.4,1.7,2.7,8.2,1.3,1.2,1.1,2.7,22.6,44.4,95.3,1.011542497,0.006360474
308,Greg Monroe,C,26,Milwaukee Bucks,MIL,1823,18.8,3.7,7.6,3.5,0,14.3,2.8,4.7,10.5,3.3,0.8,1.8,3.3,24.2,47.4,94.5,1.02010582,0.008520689
309,E'Twaun Moore,SG,27,New Orleans Pelicans,NOP,1820,13.8,3.2,5.6,1.1,1.5,12.2,1.2,1.5,3,0.7,0.6,1,2.6,22.8,45,98,0.983673469,0.004996384
310,Marcus Morris,SF,27,Detroit Pistons,DET,2565,15.5,2.2,5.9,2,1.7,14.1,1.2,2.6,5.1,1.1,0.4,0.7,2.4,21.1,44.9,95,1.014736842,0.003579967
311,Markieff Morris,PF,27,Washington Wizards,WAS,2374,16.1,1.9,6.2,2.7,1.1,13.5,2,3.3,7.5,1.6,0.6,1.2,3.9,23.9,47.5,97.4,0.98973306,0.004202213
312,Anthony Morrow,SG,31,Chicago Bulls,CHI,87,17,2.5,5,4.6,2.5,12,0,4.6,0.8,0.4,0,0.8,1.7,22.6,44.4,95.3,1.011542497,0.132266265
313,Donatas Motiejunas,PF,26,New Orleans Pelicans,NOP,479,11.3,2.4,4.3,1.9,0.8,10.4,2.3,3.7,7.6,2,0.8,1.4,4.1,22.8,45,98,0.983673469,0.014390143
314,Timofey Mozgov,C,30,Los Angeles Lakers,LAL,1104,13.1,1.4,5.5,2.1,0,10.7,2.3,2.5,8.6,3.4,1,0.5,4.3,20.9,45,98.5,0.978680203,0.008300007
315,Emmanuel Mudiay,PG,20,Denver Nuggets,DEN,1406,15.4,5.6,5.3,3.4,1.4,14.1,3.1,4.3,4.6,0.7,0.3,1,2.4,25.3,46.9,98.3,0.980671414,0.005594738
316,Shabazz Muhammad,SF,24,Minnesota Timberwolves,MIN,1516,18.3,0.8,6.8,3.5,1.2,14.2,1.3,4.5,5.2,2,0.1,0.5,2,23.7,46.7,94.6,1.019027484,0.007205292
317,Dejounte Murray,PG,20,San Antonio Spurs,SAS,322,14.5,5.4,5.6,2.3,1,13,4.2,3.4,4.7,0.7,0.7,0.9,3.2,23.8,46.9,94.2,1.023354565,0.022772297
318,Jamal Murray,SG,19,Denver Nuggets,DEN,1764,16.6,3.5,6,2.2,2.3,14.9,2.3,2.4,4.4,0.8,0.5,1,2.5,25.3,46.9,98.3,0.980671414,0.005006669
319,Mike Muscala,C,25,Atlanta Hawks,ATL,1237,12.7,2.8,4.9,1.4,1.3,9.8,1.6,1.9,7,2.2,1.2,0.9,2.8,23.6,45.1,97.4,0.98973306,0.008670978
