,Player,Pos,Age,Team,Abb_team,MP,PTS,AST,FG,FT,X3P,FGA,TOV,FTA,TRB,ORB,BLK,STL,PF,team_AST,team_FG,Pace,pace_adjustment,PER_value
398,Wayne Selden,SG,22,Memphis Grizzlies,MEM,189,10.5,2.3,3.8,2.3,0.6,9.5,1.7,3.4,2.1,0.2,0.2,0.8,2.3,21.3,43.5,92.3,1.044420368,0.025499782
399,Kevin Seraphin,PF,27,Indiana Pacers,IND,559,14.9,1.5,7,0.9,0,12.8,1.9,1.4,9.1,2.6,1.3,0.5,4.3,22.5,46.5,95.9,1.005213764,0.019457111
400,Ramon Sessions,PG,30,Charlotte Hornets,CHO,811,13.8,5.7,4.4,4,0.9,11.7,2,5.2,3.2,0.5,0.1,1.2,1.9,23.1,44.2,95.7,1.007314525,0.010706338
401,Iman Shumpert,SG,26,Cleveland Cavaliers,CLE,1937,10.5,2,3.7,1.3,1.7,9.1,1.4,1.7,4.1,0.7,0.5,1.2,2.8,22.7,47,96.2,1.002079002,0.003477252
402,Pascal Siakam,PF,22,Toronto Raptors,TOR,859,9.6,0.7,4.3,0.9,0,8.6,1.4,1.3,7.8,2.7,1.9,1.1,4.6,18.5,46.4,94.7,1.017951426,0.009982753
403,Jonathon Simmons,SG,27,San Antonio Spurs,SAS,1392,12.5,3.3,4.6,2.6,0.8,10.9,2,3.4,4.1,0.5,0.6,1.2,3.8,23.8,46.9,94.2,1.023354565,0.005302283
404,Kyle Singler,SF,28,Oklahoma City Thunder,OKC,385,8.2,0.8,3.2,1.2,0.7,7.8,1,1.6,4.5,0.7,0.5,0.7,2.7,21,45.2,97.8,0.985685072,0.012044637
405,Marcus Smart,SG,22,Boston Celtics,BOS,2399,12.5,5.5,4,3,1.4,11.2,2.4,3.8,4.6,1.2,0.5,1.9,2.9,25.2,45.4,96.8,0.995867769,0.003631444
406,Ish Smith,PG,28,Detroit Pistons,DET,1955,14,7.7,6.1,1.3,0.5,13.8,2.1,1.9,4.3,0.4,0.6,1.1,2.3,21.1,44.9,95,1.014736842,0.005607618
407,J.R. Smith,SG,31,Cleveland Cavaliers,CLE,1187,10.6,1.9,3.7,0.3,2.9,10.8,0.8,0.5,3.4,0.5,0.3,1.2,2.3,22.7,47,96.2,1.002079002,0.005196584
408,Jason Smith,C,30,Washington Wizards,WAS,1068,14.2,1.2,5.9,1.2,1.2,11.1,2,1.7,8.7,2.2,1.8,0.7,5.7,23.9,47.5,97.4,0.98973306,0.009530191
409,Tony Snell,SG,25,Milwaukee Bucks,MIL,2336,10.5,1.5,3.8,0.7,2.2,8.3,0.8,0.9,3.8,0.3,0.2,0.8,1.9,24.2,47.4,94.5,1.02010582,0.003208848
410,Marreese Speights,C,29,LA Clippers,LAC,1286,19.9,1.8,6.8,3.4,2.9,15.3,1.9,3.8,10.4,2.5,1.1,0.6,6.4,22.5,47.5,96.1,1.003121748,0.010009568
411,Tiago Splitter,C,32,Philadelphia 76ers,PHI,76,18.5,1.9,6.6,4.3,0.9,14.7,2.8,5.2,10.4,3.8,0.5,0.5,3.8,23.8,44.2,98.5,0.978680203,0.143156512
412,Nik Stauskas,SG,23,Philadelphia 76ers,PHI,2188,12.4,3.1,4.1,2,2.2,10.4,2.1,2.5,3.7,0.3,0.5,0.7,2.4,23.8,44.2,98.5,0.978680203,0.00303315
413,Lance Stephenson,SG,26,Indiana Pacers,IND,132,11.7,6.8,4.9,0.5,1.4,12,3,0.8,6.5,0.3,0.5,0.8,3.3,22.5,46.5,95.9,1.005213764,0.059275863
414,Jarnell Stokes,C,23,Denver Nuggets,DEN,7,15.4,10.3,5.1,5.1,0,5.1,0,10.3,10.3,5.1,0,5.1,15.4,25.3,46.9,98.3,0.980671414,3.196297636
415,Diamond Stone,C,19,LA Clippers,LAC,24,15,0,4.5,6,0,19.5,3,6,9,1.5,1.5,0,7.5,22.5,47.5,96.1,1.003121748,-0.047874469
416,Rodney Stuckey,PG,30,Indiana Pacers,IND,696,14.5,4.3,4.7,4.1,1,12.6,2.7,5.5,4.3,0.3,0,0.8,2.3,22.5,46.5,95.9,1.005213764,0.009714079
417,Jared Sullinger,PF,24,Toronto Raptors,TOR,118,11.3,0.9,4.6,1.2,0.9,14.3,1.2,2.4,8.2,3.1,0.3,1.2,5.2,18.5,46.4,94.7,1.017951426,0.03992014
418,Edy Tavares,C,24,Cleveland Cavaliers,CLE,24,9,1.5,4.5,0,0,6,3,1.5,15,6,9,0,4.5,22.7,47,96.2,1.002079002,0.703988661
419,Isaiah Taylor,PG,22,Houston Rockets,HOU,52,2.1,2.1,0.7,0.7,0,4.8,0,1.4,2.1,0.7,0.7,0.7,4.2,25.2,46.2,100,0.964,0.01051062
420,Jeff Teague,PG,28,Indiana Pacers,IND,2657,17,8.7,5.4,4.9,1.2,12.3,2.9,5.6,4.5,0.4,0.4,1.4,2.2,22.5,46.5,95.9,1.005213764,0.005165714
